Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,5,3,10,5,50
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,6,10,8,10,10,5,55
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60
HDFC Ergo Health Insurance,Health Wallet,6,6,10,8,10,10,9,59
Bajaj Allianz General Insurance Company Limited,Health Guard,7,6,10,8,10,10,8,59
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,4,3,10,5,10,10,8,50
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),8,9,10,8,10,10,7,62
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,9,3,8,10,10,7,55
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,7,9,10,8,10,10,8,62
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,5,10,10,8,54
Max Bupa Health Insurance,Health Companion,10,6,10,8,10,10,8,62
Max Bupa Health Insurance,Heartbeat (Gold plan),4,3,10,8,3,10,8,46
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,3,10,8,3,10,8,45
SBI General Insurance Company Ltd.,Arogya Premier,7,9,10,5,10,10,3,54
Care Health Insurance Company Limited,Care,8,9,10,5,10,10,9,61
Future Generali India Insurance Company Ltd.,Health Total,7,3,10,8,10,10,8,56
Reliance General Insurance,HealthGain - Plan B,8,6,10,8,10,10,9,61
Bharti AXA,Smart Super Health Insurance- Classic,7,9,10,3,10,10,5,54
National Insurance Company,Parivar Mediclaim Plus Policy- Plan B,5,6,10,3,3,10,3,40
The Oriental Insurance Company,Happy Family Floater-Diamond,6,9,3,3,3,10,3,37
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,8,6,10,8,10,10,7,59
Star Health Insurance,Family Health Optima Insurance Plan,8,9,10,8,10,10,7,62
Star Health Insurance,Comprehensive Insurance,7,6,10,8,10,10,6,57
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,4,9,10,8,10,10,5,56
Cholamandalam MS General Insurance Company Limited,Healthline Privilege,3,9,10,5,10,10,5,52
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),6,3,10,8,3,10,8,48
The New India Assurance Company,Premier Mediclaim,4,6,10,3,10,10,7,50
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,9,10,5,3,10,5,50
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,8,9,10,8,10,10,5,60
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,8,6,10,8,10,10,5,57
