Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),9,4,10,5,10,10,7,55
HDFC Ergo Health Insurance,Optima Restore,8,7,10,8,10,10,9,62
Max Bupa Health Insurance,Health Companion,8,7,10,8,10,10,8,61
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),7,4,10,8,10,10,7,56
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,8,7,10,8,10,10,7,60
Bajaj Allianz General Insurance Company Limited,Health Guard,8,7,10,8,10,10,8,61
HDFC Ergo Health Insurance,Health Wallet,7,7,10,8,10,10,9,61
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,8,10,10,8,63
Max Bupa Health Insurance,Heartbeat (Gold plan),6,4,10,8,3,10,8,49
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),7,4,10,8,3,10,8,50
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,8,7,10,8,10,10,4,57
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,5,4,10,5,10,10,8,52
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,7,7,10,8,10,10,4,56
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,5,10,10,4,56
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,4,10,8,3,10,8,46
Royal Sundaram General Insurance Company,Lifeline - Elite Family Floater,4,4,10,8,10,10,7,53
Bharti AXA,Smart Super Health Insurance- Uber,8,9,10,3,10,10,4,54
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Prime,8,9,10,5,3,10,4,49
Future Generali India Insurance Company Ltd.,Health Total,3,4,10,8,10,10,8,53
Care Health Insurance Company Limited,Care,6,9,10,5,10,10,9,59
The New India Assurance Company,Premier Mediclaim,3,7,10,3,10,10,7,50
National Insurance Company,Parivar Mediclaim Plus Polic- Plan C,5,7,10,3,3,10,3,41
