Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,4,10,10,7,52
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),8,9,10,8,10,10,7,62
Care Health Insurance Company Limited,Care,8,9,10,4,10,10,9,60
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,8,10,10,8,63
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,6,10,8,10,10,7,59
Bajaj Allianz General Insurance Company Limited,Health Guard,7,6,10,8,10,10,8,59
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,9,3,8,10,10,7,56
Max Bupa Health Insurance,Health Companion,6,6,10,8,10,10,8,58
Future Generali India Insurance Company Ltd.,Health Total - Superior,7,3,10,8,10,10,8,56
HDFC Ergo Health Insurance,Health Wallet,5,6,10,8,10,10,9,58
Star Health Insurance,Comprehensive Insurance,7,6,10,8,10,10,6,57
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,4,3,10,4,48
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,9,10,4,3,10,4,48
Iffco Tokio General,Individual Health Protector,7,6,10,4,3,10,9,49
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,8,6,10,8,10,10,4,56
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,6,3,10,4,10,10,8,51
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,6,10,8,10,10,4,54
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,8,9,10,8,10,10,4,59
Max Bupa Health Insurance,Heartbeat (Gold plan),5,3,10,8,3,10,8,47
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,3,10,8,3,10,8,45
Reliance General Insurance,HealthGain - Plan B,7,6,10,8,10,10,9,60
SBI General Insurance Company Ltd.,Arogya Premier,8,9,10,4,10,10,3,54
The New India Assurance Company,Premier Mediclaim,5,6,10,3,10,10,7,51
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,4,9,10,8,5,10,4,50
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,9,10,4,3,10,4,43
National Insurance Company,Mediclaim Plus Policy-Plan B,3,6,3,4,3,10,3,32
