Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,5,10,10,8,54
HDFC Ergo Health Insurance,Optima Restore,7,5,10,8,10,10,9,59
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,8,10,8,10,10,8,62
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),8,8,10,8,10,10,8,62
Care Health Insurance Company Limited,Care,9,8,10,5,10,10,9,61
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),7,5,10,8,10,10,8,58
Future Generali India Insurance Company Ltd.,Health Total - Vital,8,3,10,8,10,10,9,58
Royal Sundaram General Insurance Company,Lifeline - Supreme,7,5,10,8,10,10,7,57
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),7,8,10,8,10,10,8,61
Bajaj Allianz General Insurance Company Limited,Health Guard,6,5,10,8,10,10,8,57
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,8,3,8,10,10,8,56
Max Bupa Health Insurance,Health Companion,7,5,10,8,10,10,9,59
Reliance General Insurance,HealthGain - Plan B,8,5,10,8,10,10,9,60
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39
Aditya Birla Health Insurance,Activ Assure - Diamond,9,8,10,5,10,10,5,57
HDFC Ergo Health Insurance,Health Wallet,4,5,10,8,10,10,9,56
Star Health Insurance,Comprehensive Insurance,7,5,10,8,10,10,6,56
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,8,10,5,3,10,5,49
Iffco Tokio General,Individual Health Protector,7,5,10,5,3,10,9,49
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,4,3,10,5,10,10,8,50
Liberty General Insurance Company Limited,Health Connect Elite,7,5,10,8,10,10,7,57
Liberty General Insurance Company Limited,Health Connect Basic,8,8,10,8,3,10,7,54
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,7,8,10,5,10,10,5,55
Aditya Birla Health Insurance,Activ Health Platinum - Essential,8,8,10,8,3,10,5,52
Liberty General Insurance Company Limited,Health Connect Supreme,7,3,10,8,10,10,7,55
Tata AIG,Tata AIG MediCare Premier,7,3,10,8,10,10,5,53
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46
Future Generali India Insurance Company Ltd.,Health Suraksha - Platinum,7,8,10,5,3,10,9,52
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,8,5,10,5,10,10,4,52
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan A,7,8,10,5,3,10,5,48
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,7,8,10,8,10,10,5,58
SBI General Insurance Company Ltd.,Arogya Premier,7,8,10,5,10,10,3,53
Max Bupa Health Insurance,GoActive,4,5,10,3,10,10,9,51
The New India Assurance Company,Mediclaim Policy,8,8,3,3,3,10,8,43
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,6,5,10,8,10,10,5,54
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,5,10,8,10,10,5,54
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,7,8,10,4,3,10,5,47
Star Health Insurance,Mediclassic Insurance Policy (Individual),8,8,3,4,10,10,6,49
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,5,3,10,7,46
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,3,8,10,8,3,10,5,47
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,6,8,10,5,3,10,5,47
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,5,3,10,5,44
The Oriental Insurance Company,Mediclaim Policy (individual),6,8,3,3,3,10,3,36
United India Insurance Company,Mediclaim Platinum,5,8,3,3,3,10,8,40
National Insurance Company,Mediclaim Plus Policy-Plan A,3,5,3,5,3,10,3,32
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Advanced Plan,3,8,3,5,3,10,5,37
