Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,5,10,10,8,54
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),7,6,10,8,10,10,8,59
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),8,8,10,8,10,10,8,62
Care Health Insurance Company Limited,Care,9,8,10,5,10,10,9,61
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,7,8,10,8,10,10,8,61
Future Generali India Insurance Company Ltd.,Health Total - Vital,8,3,10,8,10,10,9,58
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,6,10,8,10,10,7,59
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),6,8,10,8,10,10,8,60
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,8,3,8,10,10,8,56
Max Bupa Health Insurance,Health Companion,7,6,10,8,10,10,9,60
Reliance General Insurance,HealthGain - Plan B,8,6,10,8,10,10,9,61
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39
Aditya Birla Health Insurance,Activ Assure - Diamond,9,8,10,5,10,10,5,57
Aditya Birla Health Insurance,Activ Health Platinum - Essential,8,8,10,8,3,10,5,52
HDFC Ergo Health Insurance,Health Wallet,3,6,10,8,10,10,9,56
Future Generali India Insurance Company Ltd.,Health Suraksha - Platinum,7,8,10,5,3,10,9,52
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,8,10,5,3,10,5,49
Iffco Tokio General,Individual Health Protector,7,6,10,5,3,10,9,50
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,4,3,10,5,3,10,8,43
Liberty General Insurance Company Limited,Health Connect Elite,7,6,10,8,10,10,7,58
Liberty General Insurance Company Limited,Health Connect Basic,8,8,10,8,3,10,7,54
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,6,10,8,10,10,5,55
Star Health Insurance,Comprehensive Insurance,7,6,10,8,3,10,6,50
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,6,3,10,8,10,10,5,52
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,7,6,10,5,10,10,5,53
Liberty General Insurance Company Limited,Health Connect Supreme,7,3,10,8,10,10,7,55
Tata AIG,Tata AIG MediCare Premier,7,3,10,8,10,10,5,53
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46
Bajaj Allianz General Insurance Company Limited,Health Guard,6,6,10,8,10,10,8,58
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,7,6,10,5,10,10,4,52
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan A,7,8,10,5,3,10,5,48
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,7,6,10,8,10,10,5,56
SBI General Insurance Company Ltd.,Arogya Premier,7,8,10,5,10,10,3,53
Max Bupa Health Insurance,GoActive,5,6,10,3,10,10,9,53
The New India Assurance Company,Mediclaim Policy,8,8,3,3,3,10,8,43
Star Health Insurance,Mediclassic Insurance Policy (Individual),8,8,3,4,3,10,6,42
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,7,8,10,4,3,10,5,47
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,5,3,10,7,46
Cholamandalam MS General Insurance Company Limited,Healthline -Enrich Plan,3,8,10,8,3,10,5,47
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,6,8,10,5,3,10,5,47
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,5,3,10,5,44
United India Insurance Company,Mediclaim Platinum,5,8,3,3,3,10,8,40
National Insurance Company,Mediclaim Plus Policy-Plan A,3,6,3,5,3,10,3,33
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Advanced Plan,3,8,3,5,3,10,5,37
The Oriental Insurance Company,Mediclaim Policy (individual),6,8,3,3,3,10,3,36
