Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,8,10,8,10,10,8,62,27465.0,4.0,NO,100.0,YES,NO,89.0
Care Health Insurance Company Limited,Care,9,8,10,5,10,10,9,61,24109.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),7,8,10,8,10,10,8,61,32344.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Reliance General Insurance,HealthGain - Plan B,8,6,10,8,10,10,9,61,27625.0,3.0,SINGLE PRIVATE,100.0,YES,NO,93.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),7,8,10,8,10,10,8,61,30149.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60,32156.0,3.0,NO,100.0,YES,NO,92.0
Max Bupa Health Insurance,Health Companion,7,6,10,8,10,10,9,60,33558.0,3.0,NO,100.0,YES,NO,90.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),7,6,10,8,10,10,8,59,32450.0,3.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Bajaj Allianz General Insurance Company Limited,Health Guard,6,6,10,8,10,10,8,58,36070.0,3.0,NO,100.0,YES,NO,89.0
Liberty General Insurance Company Limited,Health Connect Elite,7,6,10,8,10,10,7,58,29648.0,3.0,NO,100.0,YES,NO,84.0
Royal Sundaram General Insurance Company,Lifeline - Supreme,7,6,10,8,10,10,7,58,32393.0,3.0,NO,100.0,YES,NO,86.0
Future Generali India Insurance Company Ltd.,Health Total - Vital,7,3,10,8,10,10,9,57,30676.0,2.0,NO,100.0,YES,NO,90.0
Aditya Birla Health Insurance,Activ Assure - Diamond,9,8,10,5,10,10,5,57,24264.0,4.0,NO,50.0,YES,NO,77.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,6,8,10,8,10,10,5,57,34937.0,4.0,NO,100.0,YES,NO,77.0
HDFC Ergo Health Insurance,Health Wallet,4,6,10,8,10,10,9,57,44697.0,3.0,NO,100.0,YES,NO,92.0
Star Health Insurance,Comprehensive Insurance,7,6,10,8,10,10,6,57,30881.0,3.0,SINGLE PRIVATE,100.0,YES,NO,83.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,8,3,8,10,10,8,56,25016.0,4.0,2% SI,100.0,YES,NO,87.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,7,8,10,5,10,10,5,55,33333.0,4.0,NO,50.0,YES,NO,77.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,6,6,10,8,10,10,5,55,38004.0,3.0,NO,100.0,YES,NO,77.0
Liberty General Insurance Company Limited,Health Connect Supreme,7,3,10,8,10,10,7,55,30847.0,2.0,NO,100.0,YES,NO,84.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,5,6,10,8,10,10,5,54,39672.0,3.0,NO,100.0,YES,NO,77.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,5,10,10,8,54,29533.0,2.0,NO,50.0,YES,NO,88.0
Liberty General Insurance Company Limited,Health Connect Basic,8,8,10,8,3,10,7,54,25585.0,4.0,NO,100.0,NO,NO,84.0
SBI General Insurance Company Ltd.,Arogya Premier,7,8,10,5,10,10,3,53,30077.0,4.0,NO,50.0,YES,NO,71.0
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,8,6,10,5,10,10,4,53,28758.0,3.0,NO,50.0,YES,NO,75.0
Tata AIG,Tata AIG MediCare Premier,6,3,10,8,10,10,5,52,34397.0,2.0,NO,100.0,YES,NO,79.0
Future Generali India Insurance Company Ltd.,Health Suraksha - Platinum,7,8,10,5,3,10,9,52,31685.0,4.0,NO,50.0,NO,NO,90.0
Max Bupa Health Insurance,GoActive,4,6,10,3,10,10,9,52,44740.0,3.0,NO,0.0,YES,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,5,3,10,5,10,10,8,51,42518.0,2.0,NO,50.0,YES,NO,89.0
Aditya Birla Health Insurance,Activ Health Platinum - Essential,7,8,10,8,3,10,5,51,29969.0,4.0,NO,100.0,NO,NO,77.0
Iffco Tokio General,Individual Health Protector,7,6,10,5,3,10,9,50,31715.0,3.0,NO,50.0,NO,NO,93.0
Star Health Insurance,Mediclassic Insurance Policy (Individual),8,8,3,4,10,10,6,49,26366.0,4.0,2% SI,25.0,YES,NO,83.0
