Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,9,8,10,8,10,10,8,63,17032.0,4.0,NO,100.0,YES,NO,89.0
Care Health Insurance Company Limited,Care,8,8,10,6,10,10,9,61,18498.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),7,8,10,8,10,10,8,61,23187.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Liberty General Insurance Company Limited,Health Connect E-Connect,8,8,10,8,10,10,7,61,19580.0,4.0,NO,100.0,YES,NO,84.0
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60,22779.0,3.0,NO,100.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),6,8,10,8,10,10,8,60,26290.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Reliance General Insurance,HealthGain - Plan A,7,6,10,8,10,10,9,60,22009.0,3.0,SINGLE PRIVATE,100.0,YES,NO,93.0
HDFC Ergo Health Insurance,Health Wallet,5,6,10,8,10,10,9,58,29357.0,3.0,NO,100.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),6,6,10,8,10,10,8,58,25677.0,3.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Max Bupa Health Insurance,Health Companion,5,6,10,8,10,10,9,58,26781.0,3.0,NO,100.0,YES,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Guard,6,6,10,8,10,10,8,58,25683.0,3.0,NO,100.0,YES,NO,89.0
Star Health Insurance,Comprehensive Insurance,7,6,10,8,10,10,6,57,22066.0,3.0,SINGLE PRIVATE,100.0,YES,NO,83.0
Liberty General Insurance Company Limited,Health Connect Elite,6,6,10,8,10,10,7,57,24413.0,3.0,NO,100.0,YES,NO,84.0
Aditya Birla Health Insurance,Activ Assure - Diamond,8,8,10,6,10,10,5,57,18638.0,4.0,NO,50.0,YES,NO,77.0
Royal Sundaram General Insurance Company,Lifeline - Supreme,6,6,10,8,10,10,7,57,24988.0,3.0,NO,100.0,YES,NO,86.0
Future Generali India Insurance Company Ltd.,Health Total - Vital,7,3,10,8,10,10,9,57,21607.0,2.0,NO,100.0,YES,NO,90.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,5,8,10,8,10,10,5,56,27647.0,4.0,NO,100.0,YES,NO,77.0
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,9,6,10,6,10,10,4,55,16992.0,3.0,NO,50.0,YES,NO,75.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,6,8,10,6,10,10,5,55,26043.0,4.0,NO,50.0,YES,NO,77.0
Future Generali India Insurance Company Ltd.,Health Suraksha - Gold,9,8,10,6,3,10,9,55,17541.0,4.0,NO,50.0,NO,NO,90.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,8,3,8,10,10,8,55,18125.0,4.0,2% SI,100.0,YES,NO,87.0
Liberty General Insurance Company Limited,Health Connect Basic,8,8,10,8,3,10,7,54,20292.0,4.0,NO,100.0,NO,NO,84.0
Liberty General Insurance Company Limited,Health Connect Supreme,6,3,10,8,10,10,7,54,25450.0,2.0,NO,100.0,YES,NO,84.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,4,6,10,8,10,10,5,53,30249.0,3.0,NO,100.0,YES,NO,77.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),6,3,10,6,10,10,8,53,24045.0,2.0,NO,50.0,YES,NO,88.0
Tata AIG,Tata AIG MediCare Premier,5,3,10,8,10,10,5,51,29383.0,2.0,NO,100.0,YES,NO,79.0
Aditya Birla Health Insurance,Activ Health Platinum - Essential,7,8,10,8,3,10,5,51,22862.0,4.0,NO,100.0,NO,NO,77.0
Max Bupa Health Insurance,GoActive,3,6,10,3,10,10,9,51,36116.0,3.0,NO,0.0,YES,NO,90.0
Iffco Tokio General,Individual Health Protector,7,6,10,6,3,10,9,51,21331.0,3.0,NO,50.0,NO,NO,93.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,3,3,10,6,10,10,8,50,33517.0,2.0,NO,50.0,YES,NO,89.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,7,8,10,6,3,10,5,49,23232.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan c,7,8,10,6,3,10,5,49,23496.0,4.0,SINGLE PRIVATE,50.0,NO,NO,77.0
Star Health Insurance,Mediclassic Insurance Policy (Individual),8,8,3,4,10,10,6,49,19795.0,4.0,2% SI,25.0,YES,NO,83.0
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,4,8,10,8,3,10,5,48,31940.0,4.0,NO,100.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,6,8,10,6,3,10,5,48,25645.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline - Value Plan,8,8,10,4,3,10,5,48,20269.0,4.0,NO,25.0,NO,NO,77.0
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,6,3,10,7,47,12560.0,4.0,1% SI,50.0,NO,NO,84.0
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46,39273.0,2.0,NO,100.0,NO,NO,90.0
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,6,3,10,5,45,36808.0,4.0,NO,50.0,NO,NO,77.0
United India Insurance Company,Mediclaim Platinum,9,8,3,3,3,10,8,44,16470.0,4.0,1% SI,0.0,NO,NO,89.0
National Insurance Company,Mediclaim Policy,8,8,3,8,3,10,3,43,20667.0,4.0,1% SI,100.0,NO,NO,69.0
The New India Assurance Company,Mediclaim Policy,7,8,3,3,3,10,8,42,22366.0,4.0,1% SI,0.0,NO,NO,87.0
Universal Sompo GIC Ltd.,Individual Health Insurance,10,8,3,4,3,10,4,42,11942.0,4.0,1% SI,30.0,NO,NO,75.0
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Standard Plan,6,8,3,6,3,10,5,41,26073.0,4.0,0.6% SI,50.0,NO,NO,77.0
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39,20338.0,2.0,1% SI,25.0,NO,NO,89.0
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,8,8,3,4,3,10,3,39,19894.0,4.0,1% SI,25.0,NO,NO,71.0
The Oriental Insurance Company,Mediclaim Policy (individual),8,8,3,3,3,10,3,38,18993.0,4.0,1% SI,0.0,NO,NO,72.0
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,7,3,3,3,3,10,6,35,21240.0,1.0,1% SI,0.0,NO,NO,83.0
National Insurance Company,Mediclaim Plus Policy-Plan A,4,6,3,6,3,10,3,35,32374.0,3.0,1% SI,50.0,NO,NO,69.0
