Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,8,10,10,8,63,35860.0,4.0,NO,100.0,YES,NO,90.0
Care Health Insurance Company Limited,Care,9,9,10,5,10,10,9,62,30786.0,4.0,SINGLE PRIVATE,50.0,YES,NO,93.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),8,9,10,8,10,10,7,62,35317.0,4.0,SINGLE PRIVATE,100.0,YES,NO,88.74
Aditya Birla Health Insurance,Activ Assure - Diamond,9,9,10,5,10,10,9,62,31158.0,4.0,NO,50.0,YES,NO,92.3
SBI General Insurance Company Ltd.,Arogya Premier,8,9,10,5,10,10,8,60,39752.0,4.0,NO,50.0,YES,NO,89.55
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,8,59,46466.0,3.0,NO,100.0,YES,NO,88.85
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,6,10,8,10,10,8,58,58957.0,3.0,NO,100.0,YES,NO,92.0
Bajaj Allianz General Insurance Company Limited,Health Guard,7,6,10,8,10,10,7,58,46301.0,3.0,NO,100.0,YES,NO,86.62
HDFC Ergo Health Insurance,Health Wallet,6,6,10,8,10,10,7,57,60611.0,3.0,NO,100.0,YES,NO,88.0
Cholamandalam MS General Insurance Company Limited,Healthline -Privilege Plan,3,9,10,5,10,10,9,56,85165.0,4.0,NO,50.0,YES,NO,92.54
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,6,10,8,10,10,4,56,41223.0,3.0,NO,100.0,YES,NO,77.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,9,3,8,10,10,7,56,28379.0,4.0,2% SI,100.0,YES,NO,88.35
Star Health Insurance,Comprehensive Insurance,8,6,10,8,10,10,4,56,41206.0,3.0,SINGLE PRIVATE,100.0,YES,NO,77.0
Max Bupa Health Insurance,Health Companion,8,6,10,8,3,10,8,53,41872.0,3.0,NO,100.0,NO,NO,90.15
Cholamandalam MS General Insurance Company Limited,Healthline -Enrich Plan,4,9,10,8,3,10,7,51,78881.0,4.0,NO,100.0,NO,NO,87.0
Reliance General Insurance,HealthGain - Plan B,7,6,10,8,3,10,7,51,47748.0,3.0,SINGLE PRIVATE,100.0,NO,NO,86.48
Future Generali India Insurance Company Ltd.,Health Total - Superior,7,3,10,8,10,10,3,51,43929.0,2.0,NO,100.0,YES,NO,69.26
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,6,3,10,5,10,10,7,51,59576.0,2.0,NO,50.0,YES,NO,86.62
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,9,10,5,3,10,4,49,35622.0,4.0,NO,50.0,NO,NO,78.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,5,3,10,8,47,33821.0,2.0,NO,50.0,NO,NO,90.15
Iffco Tokio General,Individual Health Protector,8,6,10,5,3,10,4,46,41406.0,3.0,NO,50.0,NO,NO,77.11
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,3,10,8,3,10,9,46,109443.0,2.0,NO,100.0,NO,NO,92.37
Max Bupa Health Insurance,Heartbeat (Gold plan),4,3,10,8,3,10,3,41,76084.0,2.0,NO,100.0,NO,NO,71.0
The New India Assurance Company,Premier Mediclaim,4,6,10,3,3,10,4,40,75409.0,3.0,NO,0.0,NO,NO,77.0
National Insurance Company,Mediclaim Plus Policy-Plan B,4,6,3,5,3,10,6,37,81284.0,3.0,0.75% SI,50.0,NO,NO,83.25
