Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,7,8,10,8,10,10,8,61,18998.0,4.0,NO,100.0,YES,NO,89.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),7,8,10,8,10,10,8,61,17783.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Reliance General Insurance,HealthGain - Plan A,8,5,10,8,10,10,9,60,17149.0,3.0,SINGLE PRIVATE,100.0,YES,NO,93.0
Care Health Insurance Company Limited,Care,7,8,10,6,10,10,9,60,17701.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),6,8,10,8,10,10,8,60,21700.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Liberty General Insurance Company Limited,Health Connect E-Connect,7,8,10,8,10,10,7,60,18256.0,4.0,NO,100.0,YES,NO,84.0
HDFC Ergo Health Insurance,Optima Restore,7,5,10,8,10,10,9,59,19085.0,3.0,NO,100.0,YES,NO,92.0
Star Health Insurance,Family Health Optima Insurance Plan,7,8,10,8,10,10,6,59,18767.0,4.0,SINGLE PRIVATE,100.0,YES,NO,83.0
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,8,5,10,8,10,10,7,58,15301.0,3.0,NO,100.0,YES,NO,86.0
Future Generali India Insurance Company Ltd.,Health Total,7,3,10,8,10,10,9,57,18422.0,2.0,NO,100.0,YES,NO,90.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),6,5,10,8,10,10,8,57,21582.0,3.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Bajaj Allianz General Insurance Company Limited,Health Guard,6,5,10,8,10,10,8,57,21318.0,3.0,NO,100.0,YES,NO,89.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,6,8,10,8,10,10,5,57,21002.0,4.0,NO,100.0,YES,NO,77.0
HDFC Ergo Health Insurance,Health Wallet,5,5,10,8,10,10,9,57,26319.0,3.0,NO,100.0,YES,NO,92.0
Aditya Birla Health Insurance,Activ Assure - Diamond,7,8,10,6,10,10,5,56,17835.0,4.0,NO,50.0,YES,NO,77.0
Liberty General Insurance Company Limited,Health Connect Elite,6,5,10,8,10,10,7,56,22966.0,3.0,NO,100.0,YES,NO,84.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,7,8,10,6,10,10,5,56,19232.0,4.0,NO,50.0,YES,NO,77.0
Max Bupa Health Insurance,Health Companion,6,3,10,8,10,10,9,56,21723.0,2.0,NO,100.0,YES,NO,90.0
