Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),7,8,10,8,10,10,8,61,14514.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,7,8,10,8,10,10,8,61,16638.0,4.0,NO,100.0,YES,NO,89.0
Liberty General Insurance Company Limited,Health Connect E-Connect,7,8,10,8,10,10,7,60,14996.0,4.0,NO,100.0,YES,NO,84.0
Care Health Insurance Company Limited,Care,7,8,10,6,10,10,9,60,14735.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),6,8,10,8,10,10,8,60,19104.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Reliance General Insurance,HealthGain - Plan A,7,5,10,8,10,10,9,59,14921.0,3.0,SINGLE PRIVATE,100.0,YES,NO,93.0
HDFC Ergo Health Insurance,Optima Restore,7,5,10,8,10,10,9,59,16615.0,3.0,NO,100.0,YES,NO,92.0
Star Health Insurance,Family Health Optima Insurance Plan,7,8,10,8,10,10,6,59,16413.0,4.0,SINGLE PRIVATE,100.0,YES,NO,83.0
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,8,5,10,8,10,10,7,58,12888.0,3.0,NO,100.0,YES,NO,86.0
Max Bupa Health Insurance,Health Companion,6,5,10,8,10,10,9,58,18090.0,3.0,NO,100.0,YES,NO,90.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,6,8,10,8,10,10,5,57,17475.0,4.0,NO,100.0,YES,NO,77.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),6,5,10,8,10,10,8,57,18001.0,3.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Future Generali India Insurance Company Ltd.,Health Total,7,3,10,8,10,10,9,57,16351.0,2.0,NO,100.0,YES,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Guard,6,5,10,8,10,10,8,57,17968.0,3.0,NO,100.0,YES,NO,89.0
Aditya Birla Health Insurance,Activ Assure - Diamond,7,8,10,6,10,10,5,56,14846.0,4.0,NO,50.0,YES,NO,77.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),7,3,10,8,10,10,8,56,15612.0,2.0,NO,100.0,YES,NO,88.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,7,8,10,6,10,10,5,56,15450.0,4.0,NO,50.0,YES,NO,77.0
HDFC Ergo Health Insurance,Health Wallet,4,5,10,8,10,10,9,56,23959.0,3.0,NO,100.0,YES,NO,92.0
Liberty General Insurance Company Limited,Health Connect Elite,6,5,10,8,10,10,7,56,18874.0,3.0,NO,100.0,YES,NO,84.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,8,3,8,10,10,8,55,13087.0,4.0,2% SI,100.0,YES,NO,87.0
Star Health Insurance,Comprehensive Insurance,6,5,10,8,10,10,6,55,17453.0,3.0,SINGLE PRIVATE,100.0,YES,NO,83.0
Liberty General Insurance Company Limited,Health Connect Supreme,6,3,10,8,10,10,7,54,20048.0,2.0,NO,100.0,YES,NO,84.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,5,10,8,10,10,5,54,18766.0,3.0,NO,100.0,YES,NO,77.0
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,9,5,10,6,10,10,4,54,10497.0,3.0,NO,50.0,YES,NO,75.0
