Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),8,8,10,8,10,10,8,62,16897.0,4.0,Single Private,100.0,YES,NO,87.0
Reliance General Insurance,HealthGain - Plan B,8,6,10,8,10,10,9,61,15674.0,3.0,SIngle Private,100.0,YES,NO,93.0
Care Health Insurance Company Limited,Care,9,8,10,5,10,10,9,61,14237.0,4.0,Single Private,50.0,YES,NO,92.0
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,7,8,10,8,10,10,8,61,17520.0,4.0,NO,100.0,YES,NO,89.0
Max Bupa Health Insurance,Health Companion,7,6,10,8,10,10,9,60,19406.0,3.0,NO,100.0,YES,NO,90.0
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60,18722.0,3.0,NO,100.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),6,8,10,8,10,10,8,60,20977.0,4.0,Single Private,100.0,YES,NO,87.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),7,6,10,8,10,10,8,59,18553.0,3.0,Single Private,100.0,YES,NO,87.0
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,6,10,8,10,10,7,59,17413.0,3.0,NO,100.0,YES,NO,86.0
Bajaj Allianz General Insurance Company Limited,Health Guard,6,6,10,8,10,10,8,58,21431.0,3.0,NO,100.0,YES,NO,89.0
Liberty General Insurance Company Limited,Health Connect Elite,7,6,10,8,10,10,7,58,18715.0,3.0,NO,100.0,YES,NO,84.0
Future Generali India Insurance Company Ltd.,Health Total - Vital,8,3,10,8,10,10,9,58,17264.0,2.0,NO,100.0,YES,NO,90.0
Aditya Birla Health Insurance,Activ Assure - Diamond,9,8,10,5,10,10,5,57,14329.0,4.0,NO,50.0,YES,NO,77.0
