Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,9,10,10,8,10,10,8,65,51029.0,4.0,NO,100.0,YES,NO,89.0
Max Bupa Health Insurance,Health Companion,9,7,10,8,10,10,8,62,56809.0,3.0,NO,100.0,YES,NO,90.0
HDFC Ergo Health Insurance,Optima Restore,8,7,10,8,10,10,8,61,64839.0,3.0,NO,100.0,YES,NO,92.0
Bajaj Allianz General Insurance Company Limited,Health Guard,8,7,10,8,10,10,8,61,68546.0,3.0,NO,100.0,YES,NO,89.0
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,7,10,8,10,10,7,60,64821.0,3.0,NO,100.0,YES,NO,86.0
Care Health Insurance Company Limited,Care,6,10,10,5,10,10,8,59,91841.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
HDFC Ergo Health Insurance,Health Wallet,6,7,10,8,10,10,8,59,89524.0,3.0,NO,100.0,YES,NO,92.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,8,7,10,8,10,10,4,57,59598.0,3.0,NO,100.0,YES,NO,77.0
Aditya Birla Health Insurance,Activ Assure - Diamond,8,10,10,5,10,10,4,57,61858.0,4.0,NO,50.0,YES,NO,77.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),10,4,10,5,10,10,7,56,39489.0,2.0,NO,50.0,YES,NO,88.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),7,4,10,8,10,10,7,56,82316.0,2.0,NO,100.0,YES,NO,87.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,7,10,8,10,10,4,55,92259.0,3.0,NO,100.0,YES,NO,77.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,7,4,10,5,10,10,8,54,84587.0,2.0,NO,50.0,YES,NO,89.0
Royal Sundaram General Insurance Company,Lifeline - Elite,5,4,10,8,10,10,7,54,116156.0,2.0,NO,100.0,YES,NO,86.0
Future Generali India Insurance Company Ltd.,Health Total - Premiere,4,4,10,8,10,10,8,54,117901.0,2.0,NO,100.0,YES,NO,90.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Prime,8,10,10,5,3,10,4,50,64065.0,4.0,NO,50.0,NO,NO,77.0
The New India Assurance Company,Premier Mediclaim,3,7,10,3,10,10,7,50,155815.0,3.0,NO,0.0,YES,NO,87.0
Max Bupa Health Insurance,Heartbeat (Gold plan),6,4,10,8,3,10,8,49,96159.0,2.0,NO,100.0,NO,NO,90.0
Max Bupa Health Insurance,Heartbeat (Platinum plan),4,4,10,8,3,10,8,47,122613.0,2.0,NO,100.0,NO,NO,90.0
The New India Assurance Company,Premier Mediclaim Policy-Plan B,4,7,10,3,3,10,7,44,132047.0,3.0,NO,0.0,NO,NO,87.0
National Insurance Company,Mediclaim Plus Policy-Plan C,4,7,3,5,3,10,3,35,125186.0,3.0,0.4% SI,50.0,NO,NO,69.0
