Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,8,10,10,8,63,22615.0,4.0,NO,100.0,YES,NO,89.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),8,9,10,8,10,10,7,62,22617.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Care Health Insurance Company Limited,Care,8,9,10,4,10,10,9,60,18960.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60,27054.0,3.0,NO,100.0,YES,NO,92.0
Reliance General Insurance,HealthGain - Plan B,7,6,10,8,10,10,9,60,27096.0,3.0,SINGLE PRIVATE,100.0,YES,NO,93.0
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,6,10,8,10,10,7,59,22154.0,3.0,NO,100.0,YES,NO,86.0
Bajaj Allianz General Insurance Company Limited,Health Guard,7,6,10,8,10,10,8,59,27506.0,3.0,NO,100.0,YES,NO,89.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,8,9,10,8,10,10,4,59,21638.0,4.0,NO,100.0,YES,NO,77.0
HDFC Ergo Health Insurance,Health Wallet,5,6,10,8,10,10,9,58,42232.0,3.0,NO,100.0,YES,NO,92.0
Max Bupa Health Insurance,Health Companion,6,6,10,8,10,10,8,58,35731.0,3.0,NO,100.0,YES,NO,90.0
Star Health Insurance,Comprehensive Insurance,7,6,10,8,10,10,6,57,25634.0,3.0,SINGLE PRIVATE,100.0,YES,NO,83.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,8,6,10,8,10,10,4,56,23816.0,3.0,NO,100.0,YES,NO,77.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,9,3,8,10,10,7,56,16571.0,4.0,0.15% SI,100.0,YES,NO,87.0
Future Generali India Insurance Company Ltd.,Health Total - Superior,7,3,10,8,10,10,8,56,26007.0,2.0,NO,100.0,YES,NO,90.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,6,10,8,10,10,4,54,33081.0,3.0,NO,100.0,YES,NO,77.0
SBI General Insurance Company Ltd.,Arogya Premier,8,9,10,4,10,10,3,54,23715.0,4.0,NO,50.0,YES,NO,71.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,4,10,10,7,52,18974.0,2.0,NO,50.0,YES,NO,88.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,6,3,10,4,10,10,8,51,38256.0,2.0,NO,50.0,YES,NO,89.0
The New India Assurance Company,Premier Mediclaim,5,6,10,3,10,10,7,51,41680.0,3.0,NO,0.0,YES,NO,87.0
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,4,9,10,8,5,10,4,50,49005.0,4.0,NO,100.0,YNO,NO,77.0
Iffco Tokio General,Individual Health Protector,7,6,10,4,3,10,9,49,26054.0,3.0,NO,50.0,NO,NO,93.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,9,10,4,3,10,4,48,19094.0,4.0,NO,50.0,NO,NO,77.0
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,4,3,10,4,48,19189.0,4.0,NO,50.0,NO,NO,77.0
Max Bupa Health Insurance,Heartbeat (Gold plan),5,3,10,8,3,10,8,47,43951.0,2.0,NO,100.0,NO,NO,90.0
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,3,10,8,3,10,8,45,74600.0,2.0,NO,100.0,NO,NO,90.0
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,9,10,4,3,10,4,43,58874.0,4.0,NO,50.0,NO,NO,77.0
National Insurance Company,Mediclaim Plus Policy-Plan B,3,6,3,4,3,10,3,32,62360.0,3.0,0.75% SI,50.0,NO,NO,69.0
