Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,8,10,10,8,63,53518.0,4.0,NO,100.0,YES,NO,89.0
HDFC Ergo Health Insurance,Optima Restore,8,7,10,8,10,10,9,62,50071.0,3.0,NO,100.0,YES,NO,92.0
Max Bupa Health Insurance,Health Companion,8,7,10,8,10,10,8,61,48664.0,3.0,NO,100.0,YES,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Guard,8,7,10,8,10,10,8,61,56316.0,3.0,NO,100.0,YES,NO,89.0
HDFC Ergo Health Insurance,Health Wallet,7,7,10,8,10,10,9,61,75526.0,3.0,NO,100.0,YES,NO,92.0
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,8,7,10,8,10,10,7,60,44082.0,3.0,NO,100.0,YES,NO,86.0
Care Health Insurance Company Limited,Care,6,9,10,5,10,10,9,59,81968.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,8,7,10,8,10,10,4,57,48358.0,3.0,NO,100.0,YES,NO,77.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),7,4,10,8,10,10,7,56,73113.0,2.0,NO,100.0,YES,NO,87.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,7,7,10,8,10,10,4,56,76958.0,3.0,NO,100.0,YES,NO,77.0
Aditya Birla Health Insurance,Activ Assure - Diamond,8,9,10,5,10,10,4,56,55209.0,4.0,NO,50.0,YES,NO,77.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),9,4,10,5,10,10,7,55,32031.0,2.0,NO,50.0,YES,NO,88.0
Bharti AXA,Smart Super Health Insurance- Uber,8,9,10,3,10,10,4,54,48106.0,4.0,NO,0.0,YES,NO,79.0
Royal Sundaram General Insurance Company,Lifeline - Elite Family Floater,4,4,10,8,10,10,7,53,124241.0,2.0,NO,100.0,YES,NO,86.0
Future Generali India Insurance Company Ltd.,Health Total,3,4,10,8,10,10,8,53,141692.0,2.0,NO,100.0,YES,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,5,4,10,5,10,10,8,52,104841.0,2.0,NO,50.0,YES,NO,89.0
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),7,4,10,8,3,10,8,50,66726.0,2.0,NO,100.0,NO,NO,90.0
The New India Assurance Company,Premier Mediclaim,3,7,10,3,10,10,7,50,164722.0,3.0,NO,0.0,YES,NO,87.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Prime,8,9,10,5,3,10,4,49,54199.0,4.0,NO,50.0,NO,NO,77.0
Max Bupa Health Insurance,Heartbeat (Gold plan),6,4,10,8,3,10,8,49,80042.0,2.0,NO,100.0,NO,NO,90.0
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,4,10,8,3,10,8,46,133286.0,2.0,NO,100.0,NO,NO,90.0
National Insurance Company,Parivar Mediclaim Plus Polic- Plan C,5,7,10,3,3,10,3,41,104727.0,3.0,NO,0.0,NO,NO,69.0
