Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),18497,2,NO,50,YES,NO,88,,
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,15301,3,NO,100,YES,NO,86,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),17783,4,SINGLE PRIVATE,100,YES,NO,87,,
HDFC Ergo Health Insurance,Optima Restore,19085,3,NO,100,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),21582,3,SINGLE PRIVATE,100,YES,NO,87,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,18998,4,NO,100,YES,NO,89,,
Future Generali India Insurance Company Ltd.,Health Total,18422,2,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),21700,4,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Guard,21318,3,NO,100,YES,NO,89,,
Care Health Insurance Company Limited,Care,17701,4,SINGLE PRIVATE,50,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,15659,4,2% SI,100,YES,NO,87,,
Max Bupa Health Insurance,Health Companion,21723,2,NO,100,YES,NO,90,,
Reliance General Insurance,HealthGain - Plan A,17149,3,SINGLE PRIVATE,100,YES,NO,93,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,17425,2,1% SI,25,NO,NO,89,,
HDFC Ergo Health Insurance,Health Wallet,26319,3,NO,100,YES,NO,92,,
Future Generali India Insurance Company Ltd.,Health Suraksha,18189,4,NO,50,NO,NO,90,,
Iffco Tokio General,Family Health Protector,18135,4,NO,50,NO,NO,93,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,12053,3,NO,50,YES,NO,75,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,33459,2,NO,50,YES,NO,89,,
Aditya Birla Health Insurance,Activ Assure - Diamond,17835,4,NO,50,YES,NO,77,,
Star Health Insurance,Family Health Optima Insurance Plan,18767,4,SINGLE PRIVATE,100,YES,NO,83,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,17648,4,NO,100,NO,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan),39853,2,NO,100,NO,NO,90,,
Star Health Insurance,Comprehensive Insurance,19364,3,SINGLE PRIVATE,100,NO,NO,83,,
Liberty General Insurance Company Limited,Health Connect E-Connect,18256,4,NO,100,YES,NO,84,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,19232,4,NO,50,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,19654,4,NO,50,NO,NO,77,,
Max Bupa Health Insurance,GoActive,30432,3,NO,0,YES,NO,90,,
Bharti AXA,Smart Super Health Insurance- Value,17525,4,NO,0,YES,NO,79,,
The New India Assurance Company,Family Floater Mediclaim,12316,4,1% SI,0,NO,NO,87,,
United India Insurance company,Family Medicare,9545,4,1% SI,0,NO,NO,89,,
United India Insurance company,Family Medicare 2014,15423,4,1% SI,0,NO,NO,89,,
Liberty General Insurance Company Limited,Health Connect Basic,20121,4,NO,100,NO,NO,84,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,22404,3,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,20696,4,NO,25,NO,NO,77,,
Liberty General Insurance Company Limited,Health Connect Supreme,24362,2,NO,100,YES,NO,84,,
Tata AIG,Tata AIG MediCare Premier,26324,2,NO,100,YES,NO,79,,
Liberty General Insurance Company Limited,Secure Health Connect,9442,4,0.6% SI,50,NO,NO,84,,
Bharti AXA,Smart Health Insurance Plan,19481,4,NO,0,NO,NO,79,,
The Oriental Insurance Company,Happy Family Floater-Silver,17226,4,1% SI,0,YES,NO,72,,
Liberty General Insurance Company Limited,Health Connect Elite,22966,3,NO,100,YES,NO,84,,
Cholamandalam MS General Insurance Company Limited,Classic Health – Family Floater,17961,4,0.6% SI,50,NO,NO,77,,
National Insurance Company,Parivar Mediclaim Policy,17312,4,1% SI,0,NO,NO,69,,
National Insurance Company,Parivar Mediclaim,11230,4,1% SI,0,NO,NO,69,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,21002,4,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,31663,4,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline - Freedom Plan,24828,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,53894,4,NO,50,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Standard Plan,20499,4,0.6% SI,50,NO,NO,77,,
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,18892,4,1% SI,25,NO,NO,71,,
Max Bupa Health Insurance,Heartbeat (Silver plan Family First),27122,4,0.6% SI,50,NO,NO,90,,
The New India Assurance Company,Family Floater 2012,28010,4,1% SI,0,NO,NO,87,,
