Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),21552,2,NO,50,YES,NO,88,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),22680,4,SINGLE PRIVATE,100,YES,NO,87,,
HDFC Ergo Health Insurance,Optima Restore,24832,3,NO,100,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),26361,3,SINGLE PRIVATE,100,YES,NO,87,,
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,22678,3,NO,100,YES,NO,86,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),26266,4,SINGLE PRIVATE,100,YES,NO,87,,
Future Generali India Insurance Company Ltd.,Health Total,24208,2,NO,100,YES,NO,90,,
Bajaj Allianz General Insurance Company Limited,Health Guard,29777,3,NO,100,YES,NO,89,,
Care Health Insurance Company Limited,Care,23333,4,SINGLE PRIVATE,50,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,21252,4,0.3% SI,100,YES,NO,87,,
Max Bupa Health Insurance,Health Companion,27799,3,NO,100,YES,NO,90,,
Reliance General Insurance,HealthGain - Plan B,20643,3,SINGLE PRIVATE,100,YES,NO,93,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,29764,4,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,21812,2,0.5% SI,25,NO,NO,89,,
HDFC Ergo Health Insurance,Health Wallet,36781,3,NO,100,YES,NO,92,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,22512,3,NO,50,YES,NO,75,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,26070,4,NO,100,YES,NO,77,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,44360,2,NO,50,YES,NO,89,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,29802,3,NO,100,YES,NO,77,,
Aditya Birla Health Insurance,Activ Assure - Diamond,23484,4,NO,50,YES,NO,77,,
Star Health Insurance,Family Health Optima Insurance Plan,23807,4,SINGLE PRIVATE,100,YES,NO,83,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,24300,4,NO,50,YES,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,23408,4,NO,100,NO,NO,77,,
Tata AIG,Tata AIG MediCare Premier,31990,2,NO,100,YES,NO,79,,
Max Bupa Health Insurance,Heartbeat (Gold plan),62394,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),52801,2,NO,100,NO,NO,90,,
Iffco Tokio General,Family Health Protector,27203,4,NO,50,NO,NO,93,,
Star Health Insurance,Comprehensive Insurance,27754,3,SINGLE PRIVATE,100,NO,NO,83,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,24240,4,NO,50,NO,NO,77,,
Liberty General Insurance Company Limited,Health Connect Elite,31443,3,NO,100,YES,NO,84,,
Max Bupa Health Insurance,GoActive,38326,3,NO,0,YES,NO,90,,
Bharti AXA,Smart Super Health Insurance- Classic,23184,4,NO,0,YES,NO,79,,
The New India Assurance Company,Family Floater Mediclaim,17284,4,1% SI,0,NO,NO,87,,
United India Insurance company,Family Medicare,15272,4,1% SI,0,NO,NO,89,,
Liberty General Insurance Company Limited,Health Connect Basic,28069,4,NO,100,NO,NO,84,,
Cholamandalam MS General Insurance Company Limited,Healthline -Value Plan,32876,4,NO,25,NO,NO,77,,
Liberty General Insurance Company Limited,Health Connect Supreme,33092,2,NO,100,YES,NO,84,,
Future Generali India Insurance Company Ltd.,Health Suraksha,35250,4,NO,50,NO,NO,90,,
United India Insurance company,Family Medicare 2014,23541,4,1% SI,0,NO,NO,89,,
Liberty General Insurance Company Limited,Secure Health Connect,12394,4,1% SI,50,NO,NO,84,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,49331,4,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline Privilege Plan,71830,4,NO,50,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom Plan,39099,4,NO,50,NO,NO,77,,
SBI General Insurance Company Ltd.,Arogya Premier,33836,4,NO,50,YES,NO,71,,
National Insurance Company,Parivar Mediclaim Plus Policy- Plan A,32536,3,1% SI,0,NO,NO,69,,
The Oriental Insurance Company,Happy Family Floater-Gold,30578,4,1% SI,0,YES,NO,72,,
National Insurance Company,Parivar Mediclaim Policy,27423,4,1% SI,0,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Superior Plan,42709,4,1% SI,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Advanced Plan,48812,4,1% SI,50,NO,NO,77,,
