Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),15785,2,NO,50,YES,NO,88,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),18553,3,Single Private,100,YES,NO,87,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),16897,4,Single Private,100,YES,NO,87,,
Care Health Insurance Company Limited,Care,14237,4,Single Private,50,YES,NO,92,,
HDFC Ergo Health Insurance,Optima Restore,18722,3,NO,100,YES,NO,92,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,17520,4,NO,100,YES,NO,89,,
Future Generali India Insurance Company Ltd.,Health Total - Vital,17264,2,NO,100,YES,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,17413,3,NO,100,YES,NO,86,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),20977,4,Single Private,100,YES,NO,87,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,14420,4,0.3% SI,100,YES,NO,87,,
Max Bupa Health Insurance,Health Companion,19406,3,NO,100,YES,NO,90,,
Reliance General Insurance,HealthGain - Plan B,15674,3,SIngle Private,100,YES,NO,93,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,14753,2,1% SI,25,NO,NO,89,,
Aditya Birla Health Insurance,Activ Assure - Diamond,14329,4,NO,50,YES,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,16732,4,NO,100,NO,NO,77,,
HDFC Ergo Health Insurance,Health Wallet,30562,3,NO,100,YES,NO,92,,
Future Generali India Insurance Company Ltd.,Health Suraksha - Platinum,18590,4,NO,50,NO,NO,90,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,15472,4,NO,50,NO,NO,77,,
Iffco Tokio General,Individual Health Protector,19967,3,NO,50,NO,NO,93,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,26871,2,NO,50,NO,NO,89,,
Liberty General Insurance Company Limited,Health Connect Elite,18715,3,NO,100,YES,NO,84,,
Liberty General Insurance Company Limited,Health Connect Basic,16424,4,NO,100,NO,NO,84,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,21684,3,NO,100,YES,NO,77,,
Star Health Insurance,Comprehensive Insurance,18751,3,SIngle Private,100,NO,NO,83,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,21221,2,NO,100,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,18295,3,NO,50,YES,NO,77,,
Liberty General Insurance Company Limited,Health Connect Supreme,19535,2,NO,100,YES,NO,84,,
Tata AIG,Tata AIG MediCare Premier,20349,2,NO,100,YES,NO,79,,
Max Bupa Health Insurance,Heartbeat (Gold plan),37196,2,NO,100,NO,NO,90,,
Bajaj Allianz General Insurance Company Limited,Health Guard,21431,3,NO,100,YES,NO,89,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,18300,3,NO,50,YES,NO,75,,
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan A,17952,4,NO,50,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,19792,3,NO,100,YES,NO,77,,
SBI General Insurance Company Ltd.,Arogya Premier,18206,4,NO,50,YES,NO,71,,
Max Bupa Health Insurance,GoActive,25773,3,NO,0,YES,NO,90,,
The New India Assurance Company,Mediclaim Policy,16550,4,1% SI,0,NO,NO,87,,
Star Health Insurance,Mediclassic Insurance Policy (Individual),15648,4,2% SI,25,NO,NO,83,,
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,20115,4,NO,25,NO,NO,77,,
Liberty General Insurance Company Limited,Secure Health Connect,9798,4,0.5% SI,50,NO,NO,84,,
Cholamandalam MS General Insurance Company Limited,Healthline -Enrich Plan,30934,4,NO,100,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,23299,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,40101,4,NO,50,NO,NO,77,,
United India Insurance Company,Mediclaim Platinum,24764,4,1% SI,0,NO,NO,89,,
National Insurance Company,Mediclaim Plus Policy-Plan A,31533,3,1% SI,50,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Advanced Plan,30252,4,1% SI,50,NO,NO,77,,
The Oriental Insurance Company,Mediclaim Policy (individual),21917,4,1% SI,0,NO,NO,72,,
