Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),29533,2,NO,50,YES,NO,88,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,27465,4,NO,100,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),30149,4,SINGLE PRIVATE,100,YES,NO,87,,
Care Health Insurance Company Limited,Care,24109,4,SINGLE PRIVATE,50,YES,NO,92,,
HDFC Ergo Health Insurance,Optima Restore,32156,3,NO,100,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),32450,3,SINGLE PRIVATE,100,YES,NO,87,,
Future Generali India Insurance Company Ltd.,Health Total - Vital,30676,2,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),32344,4,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Guard,36070,3,NO,100,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,25016,4,2% SI,100,YES,NO,87,,
Max Bupa Health Insurance,Health Companion,33558,3,NO,100,YES,NO,90,,
Reliance General Insurance,HealthGain - Plan B,27625,3,SINGLE PRIVATE,100,YES,NO,93,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,32393,3,NO,100,YES,NO,86,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,25460,2,1% SI,25,NO,NO,89,,
Aditya Birla Health Insurance,Activ Assure - Diamond,24264,4,NO,50,YES,NO,77,,
Liberty General Insurance Company Limited,Health Connect Supreme,30847,2,NO,100,YES,NO,84,,
HDFC Ergo Health Insurance,Health Wallet,44697,3,NO,100,YES,NO,92,,
Star Health Insurance,Comprehensive Insurance,30881,3,SINGLE PRIVATE,100,YES,NO,83,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,28652,4,NO,50,NO,NO,77,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,28758,3,NO,50,YES,NO,75,,
Iffco Tokio General,Individual Health Protector,31715,3,NO,50,NO,NO,93,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,42518,2,NO,50,YES,NO,89,,
Liberty General Insurance Company Limited,Health Connect Elite,29648,3,NO,100,YES,NO,84,,
Liberty General Insurance Company Limited,Health Connect Basic,25585,4,NO,100,NO,NO,84,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,29969,4,NO,100,NO,NO,77,,
Tata AIG,Tata AIG MediCare Premier,34397,2,NO,100,YES,NO,79,,
Max Bupa Health Insurance,Heartbeat (Gold plan),64782,2,NO,100,NO,NO,90,,
Future Generali India Insurance Company Ltd.,Health Suraksha - Platinum,31685,4,NO,50,NO,NO,90,,
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan A,30995,4,NO,50,NO,NO,77,,
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,26550,1,1% SI,0,NO,NO,83,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,34937,4,NO,100,YES,NO,77,,
SBI General Insurance Company Ltd.,Arogya Premier,30077,4,NO,50,YES,NO,71,,
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,31368,4,NO,25,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,33333,4,NO,50,YES,NO,77,,
Max Bupa Health Insurance,GoActive,44740,3,NO,0,YES,NO,90,,
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,35577,4,NO,50,NO,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,39672,3,NO,100,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,38004,3,NO,100,YES,NO,77,,
Star Health Insurance,Mediclassic Insurance Policy (Individual),26366,4,2% SI,25,YES,NO,83,,
The New India Assurance Company,Mediclaim Policy,31169,4,1% SI,0,NO,NO,87,,
Liberty General Insurance Company Limited,Secure Health Connect,17672,4,0.5% SI,50,NO,NO,84,,
Cholamandalam MS General Insurance Company Limited,Healthline - Enrich Plan,49518,4,NO,100,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,54653,4,NO,50,NO,NO,77,,
United India Insurance Company,Mediclaim Platinum,38597,4,1% SI,0,NO,NO,89,,
National Insurance Company,Mediclaim Plus Policy-Plan A,55305,3,1% SI,50,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Advanced Plan,49938,4,1% SI,50,NO,NO,77,,
The Oriental Insurance Company,Mediclaim Policy (individual),38109,4,1% SI,0,NO,NO,72,,
