Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),11558,2,NO,50,YES,NO,88,,
HDFC Ergo Health Insurance,Optima Restore,28768,3,NO,100,YES,NO,92,,
Max Bupa Health Insurance,Health Companion,22478,3,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),16765,2,NO,100,YES,NO,87,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,20770,4,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Guard,14965,3,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,21857,2,NO,50,YES,NO,89,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,36090,3,NO,100,YES,NO,86,,
Max Bupa Health Insurance,Heartbeat (Gold plan),51872,2,NO,100,NO,NO,90,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,28621,2,NO,100,YES,NO,77,,
Care Health Insurance Company Limited,Care,20270,4,SINGLE PRIVATE,50,YES,NO,92,,
HDFC Ergo Health Insurance,Health Wallet,26746,3,NO,100,YES,NO,92,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,18015,3,NO,100,YES,NO,77,,
Aditya Birla Health Insurance,Activ Assure - Diamond,49802,4,NO,50,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),35464,2,NO,100,NO,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Elite,16657,2,NO,100,YES,NO,86,,
The New India Assurance Company,Premier Mediclaim Policy-Plan B,25700,3,NO,0,NO,NO,87,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Prime,58347,4,NO,50,NO,NO,77,,
Future Generali India Insurance Company Ltd.,Health Total - Premiere,47949,2,NO,100,YES,NO,90,,
The New India Assurance Company,Premier Mediclaim,41847,3,NO,0,YES,NO,87,,
National Insurance Company,Mediclaim Plus Policy-Plan C,68579,3,0.4% SI,50,NO,NO,69,,
