Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
HDFC Ergo General Insurance,Health Suraksha Gold - Regain ECB,6325,4,NO,100,YES,NO,89,https://www.hdfcergo.com/documents/downloads/Brochures/Health%20Suraksha%20Gold%20Plan%20Regain%20and%20ECB.pdf,
ManipalCigna Health Insurance,ProHealth Insurance (Protect Plan),10535,4,Single Private Room,100,YES,NO,87,https://www.manipalcigna.com/documents/20124/0/ProHealth%20Accordian_Nov20_V5.pdf/45424df9-73de-6d6b-842b-ec6d5aaef6cd,https://www.manipalcigna.com/hospitalization-cover/prohealth-insurance/prohealth-protect
ICICI Lombard General Insurance,Complete Health Insurance(iHealth),13595,2,NO,50,YES,NO,88,https://www.icicilombard.com/docs/default-source/policy-wordings-product-brochure/complete-health-insurance-(ihealth)-new.pdf,
HDFC Ergo Health Insurance,Optima Restore,8370,3,NO,100,YES,NO,92,https://www.hdfcergo.com/documents/downloads/HEHI/PW_IPA_OC_OP_OR/OR-Policy-Wording_A5.pdf,https://www.hdfcergo.com/OnlineInsurance/AHealthOnline/HEHealth/HealthIndex/0ulx_fTp3kaK95cjernwbvD7KTjzYadqa2_CuUevM2_NxQneLcAQIt0i3YEOWCpT3qX5Y0BQVJ_MiH6OOxJr2Q--
ManipalCigna Health Insurance,ProHealth Insurance (Plus Plan),14860,3,Single Private Room,100,YES,NO,87,https://www.manipalcigna.com/documents/20124/0/ProHealth%20Accordian_Nov20_V5.pdf/45424df9-73de-6d6b-842b-ec6d5aaef6cd,
Future Generali India Insurance,Health Total - Vital,12688,2,NO,100,YES,NO,90,https://www.oneinsure.com/health-insurance/future-generali-health/health-total-vital,https://www.oneinsure.com/health-insurance/future-generali-health/health-total-vital
Bajaj Allianz General Insurance,Health Guard,15292,3,NO,100,YES,NO,89,https://www.bajajallianz.com/download-documents/health-insurance/health-guard-individual-policy/Health_Guard_Brochure.pdf,https://www.bajajallianz.com/health-insurance-plans/individual-health-insurance-plans/buy-online.html?src=CBM_0612472&utm_source=GoogleBrand&utm_medium=cpc&param1=Brand_Bajaj_Health&param2=B.A_Health_Guard+Exact&param3=health%20guard%20bajaj%20allianz&gclid=Cj0KCQiA6t6ABhDMARIsAONIYywhuAtSNwoJBbC8HjTV5UBLoCUQJAyuYNZ4G2mvY7HcXtS3sClP-74aArUREALw_wcB&gclsrc=aw.ds
Care Health Insurance,Care,11094,4,Single Private Room,50,YES,NO,92,https://cms.careinsurance.com/cms/public/uploads/download_center/care-freedom-(health-insurance-product)---prospectus-cum-sales-literature.pdf?rv=0.26644800%201612204916,https://www.careinsurance.com/health-insurance/cr/health-insurance-plans-dk.html?agentId=20004977&utm_source=google&utm_medium=cpc&utm_campaign=ht_ind_new-101_AD_CR_DT&utm_content=eta&utm_keyword=care%20health%20insurance&s_kwcid=AL!10397!3!462396755957!e!!g!!care%20health%20insurance&utm_term=11058536352&utm_adgroup=114131158531&gclid=Cj0KCQiA6t6ABhDMARIsAONIYyz5Mhdlacivcw9ojaHg69StwMmhGXzSPO0rpoBEtiHU_-3ldiyuAR0aAigWEALw_wcB
Tata AIG,Tata AIG MediCare Premier,8362,2,NO,100,YES,NO,79,http://14.143.90.248/bob/writereaddata/Images/pdf/Final-TATA-Medicare-Premier-Brochure-21-08-2019.pdf,https://www.tataaig.com/health-insurance/medicare
ManipalCigna Health Insurance,ProHealth Select B,10561,4,2% SI,100,YES,NO,87,https://s3.ap-south-1.amazonaws.com/healthinsurances3.com/prod/planpdf/20190423102209.pdf,
