Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),19777,2,NO,50,YES,NO,88,,
HDFC Ergo Health Insurance,Optima Restore,22510,3,NO,100,YES,NO,92,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,20281,4,NO,100,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),21228,4,SINGLE PRIVATE,100,YES,NO,87,,
Care Health Insurance Company Limited,Care,17412,4,SINGLE PRIVATE,50,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),23240,3,SINGLE PRIVATE,100,YES,NO,87,,
Future Generali India Insurance Company Ltd.,Health Total - Vital,20881,2,NO,100,YES,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,22151,3,NO,100,YES,NO,86,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),24444,4,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Guard,26363,3,NO,100,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,17795,4,2% SI,100,YES,NO,87,,
Max Bupa Health Insurance,Health Companion,24178,3,NO,100,YES,NO,90,,
Reliance General Insurance,HealthGain - Plan B,18952,3,SINGLE PRIVATE,100,YES,NO,93,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,18309,2,1% SI,25,NO,NO,89,,
Aditya Birla Health Insurance,Activ Assure - Diamond,17524,4,NO,50,YES,NO,77,,
HDFC Ergo Health Insurance,Health Wallet,34389,3,NO,100,YES,NO,92,,
Star Health Insurance,Comprehensive Insurance,22388,3,SINGLE PRIVATE,100,YES,NO,83,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,19483,4,NO,50,NO,NO,77,,
Iffco Tokio General,Individual Health Protector,23672,3,NO,50,NO,NO,93,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,32129,2,NO,50,YES,NO,89,,
Liberty General Insurance Company Limited,Health Connect Elite,22684,3,NO,100,YES,NO,84,,
Liberty General Insurance Company Limited,Health Connect Basic,19847,4,NO,100,NO,NO,84,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,22811,4,NO,50,YES,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,21146,4,NO,100,NO,NO,77,,
Liberty General Insurance Company Limited,Health Connect Supreme,23634,2,NO,100,YES,NO,84,,
Tata AIG,Tata AIG MediCare Premier,24435,2,NO,100,YES,NO,79,,
Max Bupa Health Insurance,Heartbeat (Gold plan),46768,2,NO,100,NO,NO,90,,
Future Generali India Insurance Company Ltd.,Health Suraksha - Platinum,23363,4,NO,50,NO,NO,90,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,21265,3,NO,50,YES,NO,75,,
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan A,21590,4,NO,50,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,23932,4,NO,100,YES,NO,77,,
SBI General Insurance Company Ltd.,Arogya Premier,22036,4,NO,50,YES,NO,71,,
Max Bupa Health Insurance,GoActive,32786,3,NO,0,YES,NO,90,,
The New India Assurance Company,Mediclaim Policy,20341,4,1% SI,0,NO,NO,87,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,26262,3,NO,100,YES,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,27625,3,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,23904,4,NO,25,NO,NO,77,,
Star Health Insurance,Mediclassic Insurance Policy (Individual),18642,4,2% SI,25,YES,NO,83,,
Liberty General Insurance Company Limited,Secure Health Connect,12582,4,1% SI,50,NO,NO,84,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,37092,4,NO,100,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,27563,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,45285,4,NO,50,NO,NO,77,,
The Oriental Insurance Company,Mediclaim Policy (individual),26836,4,1% SI,0,NO,NO,72,,
United India Insurance Company,Mediclaim Platinum,30381,4,1% SI,0,NO,NO,89,,
National Insurance Company,Mediclaim Plus Policy-Plan A,37880,3,1% SI,50,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Advanced Plan,37093,4,1% SI,50,NO,NO,77,,
