Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),32031,2,NO,50,YES,NO,88,,
HDFC Ergo Health Insurance,Optima Restore,50071,3,NO,100,YES,NO,92,,
Max Bupa Health Insurance,Health Companion,48664,3,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),73113,2,NO,100,YES,NO,87,,
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,44082,3,NO,100,YES,NO,86,,
Bajaj Allianz General Insurance Company Limited,Health Guard,56316,3,NO,100,YES,NO,89,,
HDFC Ergo Health Insurance,Health Wallet,75526,3,NO,100,YES,NO,92,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,53518,4,NO,100,YES,NO,89,,
Max Bupa Health Insurance,Heartbeat (Gold plan),80042,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),66726,2,NO,100,NO,NO,90,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,48358,3,NO,100,YES,NO,77,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,104841,2,NO,50,YES,NO,89,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,76958,3,NO,100,YES,NO,77,,
Aditya Birla Health Insurance,Activ Assure - Diamond,55209,4,NO,50,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),133286,2,NO,100,NO,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Elite Family Floater,124241,2,NO,100,YES,NO,86,,
Bharti AXA,Smart Super Health Insurance- Uber,48106,4,NO,0,YES,NO,79,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Prime,54199,4,NO,50,NO,NO,77,,
Future Generali India Insurance Company Ltd.,Health Total,141692,2,NO,100,YES,NO,90,,
Care Health Insurance Company Limited,Care,81968,4,SINGLE PRIVATE,50,YES,NO,92,,
The New India Assurance Company,Premier Mediclaim,164722,3,NO,0,YES,NO,87,,
National Insurance Company,Parivar Mediclaim Plus Polic- Plan C,104727,3,NO,0,NO,NO,69,,
