Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),33821,2,NO,50,NO,NO,90.15,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),35317,4,SINGLE PRIVATE,100,YES,NO,88.74,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,35860,4,NO,100,YES,NO,90,,
Bajaj Allianz General Insurance Company Limited,Health Guard,46301,3,NO,100,YES,NO,86.62,,
Care Health Insurance Company Limited,Care,30786,4,SINGLE PRIVATE,50,YES,NO,93,,
HDFC Ergo Health Insurance,Optima Restore,46466,3,NO,100,YES,NO,88.85,,
HDFC Ergo Health Insurance,Health Wallet,60611,3,NO,100,YES,NO,88,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,59576,2,NO,50,YES,NO,86.62,,
Future Generali India Insurance Company Ltd.,Health Total - Superior,43929,2,NO,100,YES,NO,69.26,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,41223,3,NO,100,YES,NO,77,,
Max Bupa Health Insurance,Health Companion,41872,3,NO,100,NO,NO,90.15,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,28379,4,2% SI,100,YES,NO,88.35,,
Iffco Tokio General,Individual Health Protector,41406,3,NO,50,NO,NO,77.11,,
Aditya Birla Health Insurance,Activ Assure - Diamond,31158,4,NO,50,YES,NO,92.3,,
Star Health Insurance,Comprehensive Insurance,41206,3,SINGLE PRIVATE,100,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,35622,4,NO,50,NO,NO,78,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,58957,3,NO,100,YES,NO,92,,
Max Bupa Health Insurance,Heartbeat (Gold plan),76084,2,NO,100,NO,NO,71,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),109443,2,NO,100,NO,NO,92.37,,
Reliance General Insurance,HealthGain - Plan B,47748,3,SINGLE PRIVATE,100,NO,NO,86.48,,
SBI General Insurance Company Ltd.,Arogya Premier,39752,4,NO,50,YES,NO,89.55,,
The New India Assurance Company,Premier Mediclaim,75409,3,NO,0,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline -Enrich Plan,78881,4,NO,100,NO,NO,87,,
Cholamandalam MS General Insurance Company Limited,Healthline -Privilege Plan,85165,4,NO,50,YES,NO,92.54,,
National Insurance Company,Mediclaim Plus Policy-Plan B,81284,3,0.75% SI,50,NO,NO,83.25,,
