Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),18974,2,NO,50,YES,NO,88,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),22617,4,SINGLE PRIVATE,100,YES,NO,87,,
Care Health Insurance Company Limited,Care,18960,4,SINGLE PRIVATE,50,YES,NO,92,,
HDFC Ergo Health Insurance,Optima Restore,27054,3,NO,100,YES,NO,92,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,22615,4,NO,100,YES,NO,89,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,22154,3,NO,100,YES,NO,86,,
Bajaj Allianz General Insurance Company Limited,Health Guard,27506,3,NO,100,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,16571,4,0.15% SI,100,YES,NO,87,,
Max Bupa Health Insurance,Health Companion,35731,3,NO,100,YES,NO,90,,
Future Generali India Insurance Company Ltd.,Health Total - Superior,26007,2,NO,100,YES,NO,90,,
HDFC Ergo Health Insurance,Health Wallet,42232,3,NO,100,YES,NO,92,,
Star Health Insurance,Comprehensive Insurance,25634,3,SINGLE PRIVATE,100,YES,NO,83,,
Aditya Birla Health Insurance,Activ Assure - Diamond,19189,4,NO,50,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,19094,4,NO,50,NO,NO,77,,
Iffco Tokio General,Individual Health Protector,26054,3,NO,50,NO,NO,93,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,23816,3,NO,100,YES,NO,77,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,38256,2,NO,50,YES,NO,89,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,33081,3,NO,100,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,21638,4,NO,100,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan),43951,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),74600,2,NO,100,NO,NO,90,,
Reliance General Insurance,HealthGain - Plan B,27096,3,SINGLE PRIVATE,100,YES,NO,93,,
SBI General Insurance Company Ltd.,Arogya Premier,23715,4,NO,50,YES,NO,71,,
The New India Assurance Company,Premier Mediclaim,41680,3,NO,0,YES,NO,87,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,49005,4,NO,100,YNO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,58874,4,NO,50,NO,NO,77,,
National Insurance Company,Mediclaim Plus Policy-Plan B,62360,3,0.75% SI,50,NO,NO,69,,
