Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
Aditya Birla Health Insurance,Activ Assure - Diamond,33263,4,NO,50,NO,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,47349,3,NO,100,YES,NO,77,,
HDFC Ergo Health Insurance,Optima Restore,35884,3,NO,100,YES,NO,92,,
HDFC Ergo Health Insurance,Health Wallet,50852,3,NO,100,YES,NO,92,,
Bajaj Allianz General Insurance Company Limited,Health Guard,38210,3,NO,100,YES,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,71224,2,NO,50,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),28509,4,SINGLE PRIVATE,100,YES,NO,87,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,24568,4,2% SI,100,YES,NO,87,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,38228,4,NO,100,YES,NO,89,,
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),27885,2,NO,50,YES,NO,88,,
Max Bupa Health Insurance,Health Companion,5274,3,NO,100,YES,NO,90,,
Max Bupa Health Insurance,Heartbeat (Gold plan),73396,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),110835,2,NO,100,NO,NO,90,,
SBI General Insurance Company Ltd.,Arogya Premier,43839,4,NO,50,YES,NO,71,,
Care Health Insurance Company Limited,Care,32865,4,SINGLE PRIVATE,50,YES,NO,92,,
Future Generali India Insurance Company Ltd.,Health Total,41646,2,NO,100,YES,NO,90,,
Reliance General Insurance,HealthGain - Plan B,32573,3,SINGLE PRIVATE,100,YES,NO,93,,
Bharti AXA,Smart Super Health Insurance- Classic,34650,4,NO,0,YES,NO,79,,
National Insurance Company,Parivar Mediclaim Plus Policy- Plan B,61563,3,NO,0,NO,NO,69,,
The Oriental Insurance Company,Happy Family Floater-Diamond,48340,4,1% SI,0,NO,NO,72,,
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,28930,3,NO,100,YES,NO,86,,
Star Health Insurance,Family Health Optima Insurance Plan,31571,4,SINGLE PRIVATE,100,YES,NO,86,,
Star Health Insurance,Comprehensive Insurance,37194,3,SINGLE PRIVATE,100,YES,NO,83,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,77851,4,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline Privilege,101451,4,NO,50,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),56282,2,NO,100,NO,NO,90,,
The New India Assurance Company,Premier Mediclaim,75237,3,NO,0,YES,NO,87,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,30136,4,NO,50,NO,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,29224,4,NO,100,YES,NO,77,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,33073,3,NO,100,YES,NO,77,,
