Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8711,2,NO,50,YES,NO,88,,
HDFC Ergo Health Insurance,Optima Restore,9471,3,NO,100,YES,NO,92,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8559,4,NO,100,YES,NO,89,,
Care Health Insurance Company Limited,Care,8468,4,SINGLE PRIVATE,50,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),11458,3,SINGLE PRIVATE,100,YES,NO,87,,
Future Generali India Insurance Company Ltd.,Health Total - Vital,8528,2,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),9652,4,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Guard,11901,3,NO,100,YES,NO,89,,
Tata AIG,Tata AIG MediCare Premier,11644,2,NO,100,YES,NO,79,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,7823,4,2% SI,100,YES,NO,87,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,10314,3,NO,100,YES,NO,77,,
Royal Sundaram General Insurance Company,Lifeline- Supreme,9114,3,NO,100,YES,NO,86,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,9677,4,NO,50,YES,NO,77,,
Aditya Birla Health Insurance,Activ Assure - Diamond,8533,4,NO,50,YES,NO,77,,
HDFC Ergo Health Insurance,Health Wallet,15241,3,NO,100,YES,NO,92,,
Reliance General Insurance,HealthGain - Plan A,8570,3,SINGLE PRIVATE,100,YES,NO,93,,
Star Health Insurance,Comprehensive Insurance,9529,3,SINGLE PRIVATE,100,YES,NO,83,,
Liberty General Insurance Company Limited,Health Connect E-Connect,9328,4,NO,100,YES,NO,84,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8364,4,NO,50,NO,NO,77,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,8913,2,1% SI,25,YES,NO,89,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,7651,3,NO,50,YES,NO,75,,
Iffco Tokio General,Individual Health Protector,11627,3,NO,50,NO,NO,93,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,16723,2,NO,50,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),14302,4,SINGLE PRIVATE,100,YES,NO,87,,
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,8769,4,NO,25,NO,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,9542,4,NO,100,NO,NO,77,,
Liberty General Insurance Company Limited,Health Connect Supreme,12339,2,NO,100,YES,NO,84,,
Max Bupa Health Insurance,Heartbeat (Gold plan),21078,2,NO,100,NO,NO,90,,
Future Generali India Insurance Company Ltd.,Health Suraksha - Gold,10698,4,NO,50,NO,NO,90,,
Max Bupa Health Insurance,Health Companion,11565,3,NO,100,YES,NO,90,,
Liberty General Insurance Company Limited,Health Connect Elite,11742,3,NO,100,YES,NO,84,,
Liberty General Insurance Company Limited,Health Connect Basic,10344,4,NO,100,NO,NO,89,,
Max Bupa Health Insurance,GoActive,16688,3,NO,0,YES,NO,90,,
United India Insurance Company,Mediclaim Platinum,9204,4,1% SI,0,NO,NO,89,,
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan c,9251,4,SINGLE PRIVATE,50,NO,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,12039,3,NO,100,YES,NO,77,,
Star Health Insurance,Mediclassic Insurance Policy (Individual),8392,4,2% SI,25,YES,NO,83,,
The New India Assurance Company,Mediclaim Policy,6781,4,1% SI,0,NO,NO,87,,
Liberty General Insurance Company Limited,Secure Health Connect,5662,5,1% SI,50,NO,NO,84,,
National Insurance Company,Mediclaim Policy,9698,4,1% SI,100,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Healthline -Enrich Plan,15817,4,NO,100,YES,NO,77,,
Universal Sompo GIC Ltd.,Individual Health Insurance,6398,4,1% SI,30,NO,NO,75,,
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,12414,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,26946,4,NO,50,NO,NO,77,,
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,11113,4,1% SI,25,NO,NO,71,,
The Oriental Insurance Company,Mediclaim Policy (individual),10013,4,1% SI,0,NO,NO,72,,
National Insurance Company,Mediclaim Plus Policy-Plan A,12410,3,1% SI,50,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Standard Plan,12193,4,0.6% SI,50,NO,NO,77,,
