Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
HDFC Ergo Health Insurance,Optima Restore,22779,3,NO,100,YES,NO,92,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,17032,4,NO,100,YES,NO,89,,
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),24045,2,NO,50,YES,NO,88,,
Care Health Insurance Company Limited,Care,18498,4,SINGLE PRIVATE,50,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),25677,3,SINGLE PRIVATE,100,YES,NO,87,,
Future Generali India Insurance Company Ltd.,Health Total - Vital,21607,2,NO,100,YES,NO,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),23187,4,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Guard,25683,3,NO,100,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,18125,4,2% SI,100,YES,NO,87,,
Future Generali India Insurance Company Ltd.,Health Suraksha - Gold,17541,4,NO,50,NO,NO,90,,
Iffco Tokio General,Individual Health Protector,21331,3,NO,50,NO,NO,93,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,24988,3,NO,100,YES,NO,86,,
Aditya Birla Health Insurance,Activ Assure - Diamond,18638,4,NO,50,YES,NO,77,,
HDFC Ergo Health Insurance,Health Wallet,29357,3,NO,100,YES,NO,92,,
Reliance General Insurance,HealthGain - Plan A,22009,3,SINGLE PRIVATE,100,YES,NO,93,,
Liberty General Insurance Company Limited,Health Connect E-Connect,19580,4,NO,100,YES,NO,84,,
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,16992,3,NO,50,YES,NO,75,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,33517,2,NO,50,YES,NO,89,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),26290,4,SINGLE PRIVATE,100,YES,NO,87,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,20338,2,1% SI,25,NO,NO,89,,
Star Health Insurance,Comprehensive Insurance,22066,3,SINGLE PRIVATE,100,YES,NO,83,,
Liberty General Insurance Company Limited,Health Connect Supreme,25450,2,NO,100,YES,NO,84,,
Max Bupa Health Insurance,Heartbeat (Gold plan),39273,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Health Companion,26781,3,NO,100,YES,NO,90,,
Liberty General Insurance Company Limited,Health Connect Elite,24413,3,NO,100,YES,NO,84,,
Liberty General Insurance Company Limited,Health Connect Basic,20292,4,NO,100,NO,NO,84,,
Cholamandalam MS General Insurance Company Limited,Healthline - Value Plan,20269,4,NO,25,NO,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,22862,4,NO,100,NO,NO,77,,
Max Bupa Health Insurance,GoActive,36116,3,NO,0,YES,NO,90,,
United India Insurance Company,Mediclaim Platinum,16470,4,1% SI,0,NO,NO,89,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,23232,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,25645,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan c,23496,4,SINGLE PRIVATE,50,NO,NO,77,,
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,21240,1,1% SI,0,NO,NO,83,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,30249,3,NO,100,YES,NO,77,,
Star Health Insurance,Mediclassic Insurance Policy (Individual),19795,4,2% SI,25,YES,NO,83,,
The New India Assurance Company,Mediclaim Policy,22366,4,1% SI,0,NO,NO,87,,
Liberty General Insurance Company Limited,Secure Health Connect,12560,4,1% SI,50,NO,NO,84,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,27647,4,NO,100,YES,NO,77,,
Tata AIG,Tata AIG MediCare Premier,29383,2,NO,100,YES,NO,79,,
The Oriental Insurance Company,Mediclaim Policy (individual),18993,4,1% SI,0,NO,NO,72,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,26043,4,NO,50,YES,NO,77,,
National Insurance Company,Mediclaim Policy,20667,4,1% SI,100,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,31940,4,NO,100,NO,NO,77,,
Universal Sompo GIC Ltd.,Individual Health Insurance,11942,4,1% SI,30,NO,NO,75,,
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,36808,4,NO,50,NO,NO,77,,
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,19894,4,1% SI,25,NO,NO,71,,
National Insurance Company,Mediclaim Plus Policy-Plan A,32374,3,1% SI,50,NO,NO,69,,
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Standard Plan,26073,4,0.6% SI,50,NO,NO,77,,
