Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),44123,2,NO,0,NO,NO,88,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,43765,4,NO,0,NO,NO,89,,
Care Health Insurance Company Limited,Care,42232,4,SINGLE PRIVATE,0,NO,YES,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),49265,4,SINGLE PRIVATE,0,NO,YES,87,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),43389,4,SINGLE PRIVATE,0,NO,YES,87,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),52562,3,SINGLE PRIVATE,0,NO,YES,87,,
Max Bupa Health Insurance,Health Companion,59703,3,NO,0,NO,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,54098,3,NO,0,NO,NO,86,,
Care Health Insurance Company Limited,Care Freedom,55041,2,NO,0,NO,YES,92,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,80470,2,NO,0,NO,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,42551,2,1% SI,0,NO,NO,89,,
Aditya Birla Health Insurance,Activ Assure - Diamond,42550,4,NO,0,NO,YES,77,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,47165,4,2% SI,0,NO,NO,87,,
Future Generali India Insurance Company Ltd.,Health Total - Vital,57683,2,NO,0,NO,YES,90,,
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,26550,1,1% SI,0,NO,YES,83,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,52350,4,NO,0,NO,YES,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,71725,3,NO,0,NO,NO,77,,
