Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),39489,2,NO,50,YES,NO,88,,
HDFC Ergo Health Insurance,Optima Restore,64839,3,NO,100,YES,NO,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Preferred Plan),82316,2,NO,100,YES,NO,87,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,51029,4,NO,100,YES,NO,89,,
HDFC Ergo Health Insurance,Health Wallet,89524,3,NO,100,YES,NO,92,,
Max Bupa Health Insurance,Health Companion,56809,3,NO,100,YES,NO,90,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,84587,2,NO,50,YES,NO,89,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,64821,3,NO,100,YES,NO,86,,
Bajaj Allianz General Insurance Company Limited,Health Guard,68546,3,NO,100,YES,NO,89,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Absolute,59598,3,NO,100,YES,NO,77,,
Care Health Insurance Company Limited,Care,91841,4,SINGLE PRIVATE,50,YES,NO,92,,
Aditya Birla Health Insurance,Activ Assure - Diamond,61858,4,NO,50,YES,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan),96159,2,NO,100,NO,NO,90,,
Max Bupa Health Insurance,Heartbeat (Platinum plan),122613,2,NO,100,NO,NO,90,,
Royal Sundaram General Insurance Company,Lifeline - Elite,116156,2,NO,100,YES,NO,86,,
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Prime,64065,4,NO,50,NO,NO,77,,
Future Generali India Insurance Company Ltd.,Health Total - Premiere,117901,2,NO,100,YES,NO,90,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,92259,3,NO,100,YES,NO,77,,
The New India Assurance Company,Premier Mediclaim,155815,3,NO,0,YES,NO,87,,
The New India Assurance Company,Premier Mediclaim Policy-Plan B,132047,3,NO,0,NO,NO,87,,
National Insurance Company,Mediclaim Plus Policy-Plan C,125186,3,0.4% SI,50,NO,NO,69,,
