Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),53845,2,NO,0,NO,NO,88,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),54988,4,SINGLE PRIVATE,0,NO,YES,87,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),67708,3,SINGLE PRIVATE,0,NO,YES,87,,
Care Health Insurance Company Limited,Care,55488,4,SINGLE PRIVATE,0,NO,YES,92,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),64735,4,SINGLE PRIVATE,0,NO,YES,87,,
Max Bupa Health Insurance,Health Companion,74816,3,NO,0,NO,NO,90,,
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,69996,4,NO,0,NO,NO,89,,
Royal Sundaram General Insurance Company,Lifeline - Supreme,67792,3,NO,0,NO,NO,86,,
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,99909,2,NO,0,NO,NO,89,,
Bajaj Allianz General Insurance Company Limited,Health Ensure,53264,2,1% SI,0,NO,NO,89,,
Future Generali India Insurance Company Ltd.,Health Total - Vital,66320,2,NO,0,NO,YES,90,,
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,65726,4,2% SI,0,NO,NO,87,,
Aditya Birla Health Insurance,Activ Assure - Diamond,55844,4,NO,0,NO,YES,77,,
Care Health Insurance Company Limited,Care Freedom,80750,2,SINGLE PRIVATE,0,NO,YES,92,,
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,26550,1,1% SI,0,NO,YES,83,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,66076,4,NO,0,NO,YES,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,90173,3,NO,0,NO,NO,77,,
